person.name,fram.fishery.id
CF,1
CF,2
CF,3
CF,4
CF,5
CF,6
CF,7
CF,8
CF,9
CF,10
CF,11
CF,12
CF,13
CF,14
CF,15
CF,16
CF,17
CF,18
CF,19
CF,20
CF,21
CF,22
MZ,23
MZ,24
MZ,25
MZ,26
MZ,27
MZ,28
MZ,29
MZ,30
MZ,31
MZ,32
MZ,33
MZ,34
MZ,35
MZ,36
MZ,37
MZ,38
MZ,39
MZ,40
MZ,41
MZ,42
MZ,43
DH,44
MZ,45
MZ,46
DH,47
MZ,48
MZ,49
DH,50
MZ,51
DH,52
DH,53
MZ,54
DH,55
DH,56
DH,57
MZ,58
MZ,59
MZ,60
MZ,61
MZ,62
DH,63
DH,64
MZ,65
MZ,66
MZ,67
DH,68
DH,69
MZ,70
DH,71
DH,72
MZ,73
DH,74
DH,75
MZ,76
DH,77
DH,78
DH,79
DH,80
DH,81
DH,82
DH,83
DH,84
DH,85
DH,86
MZ,87
DH,88
MZ,89
MZ,90
MZ,91
MZ,92
MZ,93
MZ,94
MZ,95
DH,96
DH,97
DH,98
MZ,99
MZ,100
DH,101
DH,102
DH,103
DH,104
DH,105
MZ,106
MZ,107
MZ,108
DH,109
DH,110
DH,111
DH,112
DH,113
DH,114
MZ,115
MZ,116
MZ,117
MZ,118
DH,119
DH,120
DH,121
DH,122
DH,123
DH,124
DH,125
DH,126
MZ,127
MZ,128
MZ,129
DH,130
DH,131
DH,132
DH,133
DH,134
MZ,135
MZ,136
DH,137
DH,138
DH,139
DH,140
DH,141
DH,142
DH,143
DH,144
DH,145
DH,146
DH,147
DH,148
MZ,149
MZ,150
MZ,151
MZ,152
DH,153
DH,154
DH,155
DH,156
DH,157
DH,158
DH,159
DH,160
DH,161
DH,162
MZ,163
MZ,164
MZ,165
MZ,166
JS,167
JS,168
JS,169
JS,170
JS,171
JS,172
JS,173
JS,174
JS,175
JS,176
JS,177
JS,178
JS,179
JS,180
JS,181
JS,182
JS,183
JS,184
JS,185
JS,186
JS,187
JS,188
JS,189
JS,190
JS,191
JS,192
JS,193
MZ,194
MZ,195
MZ,196
MZ,197
MZ,198
